year,month,temperature_mean,temperature_max,temperature_min,rainfall_mm,temperature_anomaly,season
2019,1,22.23483870967742,31.021290322580644,14.549032258064516,1.86,-0.7858064516129033,other
2019,2,26.268571428571427,34.53285714285714,18.30785714285714,0.7000000000000001,0.23410714285714324,other
2019,3,29.693548387096776,37.71967741935484,21.50258064516129,2.84,0.14419354838709686,pre_monsoon
2019,4,31.803,39.166333333333334,24.216666666666665,24.28,0.7955000000000003,pre_monsoon
2019,5,31.413225806451614,38.795806451612904,24.408709677419353,46.94,0.5572580645161296,pre_monsoon
2019,6,27.473333333333336,33.11266666666667,23.177666666666667,72.76,0.6163333333333322,other
2019,7,25.19516129032258,29.457741935483874,22.278387096774193,58.78,0.2416129032258065,other
2019,8,24.774838709677418,29.040967741935482,21.83258064516129,130.59,0.18645161290322618,other
2019,9,24.694666666666667,29.119666666666667,21.596999999999998,158.36,0.30183333333333334,other
2019,10,24.129677419354838,28.00516129032258,21.02516129032258,211.99,0.24790322580645135,other
2019,11,23.131666666666668,28.055666666666664,19.244333333333334,22.9,0.35950000000000026,other
2019,12,22.599032258064515,28.580967741935485,18.233870967741936,12.129999999999999,0.7827419354838709,other
2020,1,23.806451612903224,31.536451612903225,17.41516129032258,1.25,0.7858064516129033,other
2020,2,25.87724137931034,33.75793103448276,18.41448275862069,0.19,-0.1972413793103444,other
2020,3,29.470000000000002,36.943548387096776,21.873225806451615,1.38,-0.20064516129032242,pre_monsoon
2020,4,30.215,37.342,23.26033333333333,63.57,-0.7639999999999998,pre_monsoon
2020,5,30.213225806451614,36.45612903225807,24.767096774193547,86.35,-0.5849999999999999,pre_monsoon
2020,6,26.147,31.349,22.351,76.05,-0.6110000000000005,other
2020,7,24.721290322580646,28.738387096774193,21.692580645161293,253.51000000000002,-0.23451612903225805,other
2020,8,24.389032258064518,28.218709677419355,21.700322580645164,87.46000000000001,-0.1603225806451608,other
2020,9,24.044666666666668,27.849666666666668,21.241666666666667,220.73,-0.34700000000000003,other
2020,10,23.639032258064514,27.48483870967742,20.530967741935484,191.71,-0.22596774193548394,other
2020,11,22.384666666666664,27.145,18.594,15.43,-0.36083333333333345,other
2020,12,21.026451612903227,27.57225806451613,16.313225806451612,6.4799999999999995,-0.7712903225806448,other
2021,1,22.54516129032258,29.598064516129032,17.061290322580643,42.53,-0.47548387096774175,other
2021,2,23.2925,31.562142857142856,16.0375,23.65,-2.741964285714285,other
2021,3,27.981612903225805,36.424838709677424,19.91741935483871,0.24,-1.5677419354838709,pre_monsoon
2021,4,30.398000000000003,37.25233333333333,23.575,39.0,-0.6094999999999996,pre_monsoon
2021,5,28.159032258064514,33.553870967741936,23.626129032258063,107.03,-2.6969354838709676,pre_monsoon
2021,6,25.474666666666668,30.055,22.050333333333334,104.01,-1.3823333333333345,other
2021,7,24.69709677419355,28.815806451612904,21.823870967741936,132.15,-0.2564516129032259,other
2021,8,24.7558064516129,29.57741935483871,21.2958064516129,71.36,0.16741935483871007,other
2021,9,24.773666666666667,29.56,21.442666666666664,66.61,0.38083333333333347,other
2021,10,24.544193548387096,28.961290322580645,21.028709677419354,147.05,0.6624193548387097,other
2021,11,23.451,27.913999999999998,20.369000000000003,132.02,0.6788333333333336,other
2021,12,21.546774193548387,27.873870967741937,16.607741935483872,3.9699999999999998,-0.26951612903225775,other
2022,1,22.528709677419354,30.094516129032257,16.57,0.79,-0.49193548387096775,other
2022,2,25.46892857142857,33.745714285714286,17.717857142857145,0.0,-0.5655357142857137,other
2022,3,29.108387096774194,36.54741935483871,21.731612903225805,2.22,-0.44096774193548394,pre_monsoon
2022,4,30.502333333333336,36.95733333333333,24.303333333333335,52.77,-0.5051666666666662,pre_monsoon
2022,5,27.92064516129032,34.013548387096776,23.138387096774192,149.26,-2.9353225806451606,pre_monsoon
2022,6,25.690333333333335,30.728666666666665,22.051333333333332,75.0,-1.1666666666666676,other
2022,7,24.933548387096774,29.008387096774193,21.945483870967742,136.23,-0.02000000000000003,other
2022,8,24.27774193548387,28.330322580645163,21.451612903225808,168.34,-0.31064516129032244,other
2022,9,24.132333333333335,28.324,21.026333333333334,199.27,-0.2604999999999998,other
2022,10,23.282258064516128,27.701290322580647,19.71516129032258,111.94,-0.5995161290322578,other
2022,11,22.037666666666667,27.515,17.490333333333336,11.88,-0.7345,other
2022,12,22.806129032258063,29.550645161290323,17.759032258064515,25.49,0.9898387096774193,other
2023,1,22.384516129032257,30.910645161290322,15.306774193548387,0.01,-0.6361290322580644,other
2023,2,25.794642857142858,34.596428571428575,17.581785714285715,0.0,-0.2398214285714278,other
2023,3,27.87741935483871,35.65032258064517,19.88967741935484,2.0,-1.6719354838709677,pre_monsoon
2023,4,30.129,37.318,22.737333333333332,38.620000000000005,-0.8784999999999993,pre_monsoon
2023,5,29.550645161290323,35.88580645161291,23.734193548387097,56.05,-1.305322580645161,pre_monsoon
2023,6,28.139,34.21033333333333,23.341333333333335,27.490000000000002,1.281999999999999,other
2023,7,25.28290322580645,29.86709677419355,22.107096774193547,128.96,0.32935483870967747,other
2023,8,26.136451612903226,31.960645161290323,21.832903225806454,47.7,1.5480645161290325,other
2023,9,25.161,30.18433333333333,21.669,102.34,0.7681666666666666,other
2023,10,27.098387096774193,33.560967741935485,21.551290322580645,2.59,3.2166129032258066,other
2023,11,25.352333333333334,31.422,20.683,59.01,2.5801666666666665,other
2023,12,24.011290322580646,31.266451612903225,18.43,4.1,2.195,other
2024,1,24.506129032258066,31.93354838709677,17.94451612903226,8.6,1.4854838709677423,other
2024,2,26.78103448275862,35.15724137931034,18.811034482758622,0.0,0.706551724137932,other
2024,3,30.656451612903226,38.031290322580645,23.142258064516128,0.54,0.9858064516129036,pre_monsoon
2024,4,31.928,39.04566666666666,24.843666666666664,28.77,0.9490000000000005,pre_monsoon
2024,5,30.14483870967742,36.31483870967742,24.66516129032258,111.27000000000001,-0.6533870967741932,pre_monsoon
2024,6,25.711666666666666,30.407333333333334,22.319000000000003,118.28999999999999,-1.0463333333333342,other
2024,7,25.083225806451615,29.22935483870968,22.328709677419358,91.03,0.12741935483870978,other
2024,8,25.469032258064516,29.621612903225806,22.416451612903224,165.76,0.919677419354839,other
2024,9,24.830333333333332,29.307666666666666,21.65666666666667,102.2,0.4386666666666663,other
2024,10,24.706451612903226,28.844516129032257,21.374193548387098,201.48,0.841451612903226,other
2024,11,22.812333333333335,28.311,18.505,5.98,0.06683333333333354,other
2024,12,23.715806451612906,29.783870967741933,19.335806451612903,20.53,1.9180645161290326,other
